tweets,senti,emotion
rt gurugobindsinghjayanti first time sikh histori panch pyre wear green turban support farmer p…,0.024999999999999994,POS
bjp leader turn sikh farmer protest start mr modi😂,0.0,NEU
women steel lead way dure farmer protest ਨਿਸਚੈਕਰਿਅਪੁਨੀਜੀਤਕਰੋ,0.0,NEU
women steel lead way dure farmer protest warrior ਨਿਸਚੈਕਰਿਅਪੁਨੀਜੀਤਕਰੋ,0.0,NEU
rt ’ believ ’ made coupl famou get marri jatt usernam ’ even post instagr…,0.0,NEU
rt first time histori pyar support farmer protest wear green turban gurpurab march standwithfarme…,0.024999999999999994,POS
rt prht पत्रका साहि मुरल मेंघान न जनवर क टिकर बॉर्ड क ए वीडिय ट्वी किय था ट्वी क मुताबिक अलग अल धर् क म…,0.0,NEU
rt ਨਿਸਚੈਕਰਿਅਪੁਨੀਜੀਤਕਰੋ talk farmer govern date remain inconclus score…,0.0,NEU
nope farmer protest cant end till peopl like u r misguid innoc farmer u congi,0.0,NEU
rt farmersprotest lac farmer delhi ’ border brought focu rang issu agricultur india thi…,0.0,NEU
rt protest ha go th consecut day thi slap face “ world ’ biggest democraci de…,0.0,NEU
rt protest thousand farmer delhi ’ border brought focu rang issu agricultur india…,0.0,NEU
rt pardeep singh dairi farm owner ludhiana said wa among first lot reach delhi ’ border novemb …,0.25,POS
rt world largest protest happen largest democraci democraci ਨਿਸਚੈਕਰਿਅਪੁਨੀਜੀਤਕਰ,0.0,NEU
rt thi illeg construct farmer protest site delhi kindli look matter thi u…,0.0,NEU
rt thi farmer protest ha rock moti ji big time amp self goal anoth power fa…,0.0,NEU
dkaul brother cousin sit cold outer skirt new delhi farm,-0.2318181818181818,NEG
rt bear शेय कि ज रह ए वीडिय क सा दाव किय ज रह ह क य किसा है ज अना सड़ रह हैं मालू चल क य द सा पुरान वीडि…,0.0,NEU
pharm dharma,0.0,NEU
anudina news bulletin newsfarm protest news,0.0,NEU
gurugobindsinghjayanti first time sikh histori panch pyre wear green turban support f,0.024999999999999994,POS
dixit pl organis massiv protest like current farmer protest onli cri babi get fed india,0.0,NEU
rt ask ye send invit speak a…,0.0,NEU
rt pain clear india ha invest heavili pakistani media even farmer protest be…,0.10000000000000002,POS
pain clear india ha invest heavili pakistani media even farmer protest,0.10000000000000002,POS
farmer protest amit shah plan januari dr manish kumar capi via,0.0,NEU
rt u slow clap rs journal accord u cricket match import thn life farmers…,-0.30000000000000004,NEG
sehgal daughter farmer belong utter pardesh k,0.0,NEU
rt btm held preliminari meet koramangala discuss prepar tomorrow ’ ‘ raj bhavan chalo mass protest support of…,0.0,NEU
left ya right love badass woman indian soil super fiesty🔥 intern shooter poonam pandit,0.27976190476190477,POS
rt chandi inaugur march rajbhavan solidar india farmer protest bjp govern anti farme…,0.0,NEU
rt farmer protest nutshel 😂,0.0,NEU
rt hope thi farmer ’ protest remain peac protest onli turn riot like last year delhi riot even t…,0.0,NEU
hope thi farmer ’ protest remain peac protest onli turn riot like last year delhi riot eve,0.0,NEU
ohh realli speak much english someon u hire tweet clown happend farmer protest,0.0,NEU
tandav ne ik realiti bhut ash se dikhai gai farmer protest ko khatam ja daban,0.0,NEU
probe fake trp case fail miser new invent privat gossip find cord rogu regim,-0.2878787878787879,NEG
hasnt amend still law doesnt includ ani minor doe,-0.05,NEG
whi drag religion farmer protest,-0.1,NEG
rt kg mani react team india win farmer protest noth game reaction…,0.2,POS
ad realli facil given paid protest otherwis c,0.0,NEU
thought move piec farmer protest india unfortun overshadow world news,0.0,NEU
rt chief take part protest farmlaw mumbai azad maidan th jan mva g…,0.0,NEU
rt com mouth platitud farmer protest india justin trudeau ’ polic crack protestor toronto https…,0.0,NEU
govt india must impos temp suspens social media platform amidst call farmer protest,0.03333333333333333,POS
farmer made veri clear person fight,0.10000000000000002,POS
rt daata whi r u assum us sikh r nt w…,0.0,NEU
rt ncp chief sharad pawar take part protest farm law mumbai azad maidan th jan mva govt support…,0.0,NEU
rt punam paridhan mantri ji india dure farmer australia protest,0.0,NEU
daata whi r u assum us sikh r nt,0.0,NEU
protest web seri tandav like farmer protest peopl ha reason come prote,0.0,NEU
basic say forget close hundr farmer die sinc farmer protest star,0.0,NEU
rt havent watch seri viral clip definit work fiction farmer protest aazadi s…,0.0,NEU
mani react team india win farmer protest noth game r,0.2,POS
yukti madam sgayad dalit ko hindu se alg maanti hain isliy dono bat alg alg likhi hainor illeag pr,0.0,NEU
rt speak nia investig khalistani activ farmer protest kisanandolan https…,0.0,NEU
’ believ ’ made coupl famou get marri jatt usernam ’ even post,0.0,NEU
’ betterif u manag covid crisi uk rather talk farmer protest time n ag,0.0,NEU
farmer protest amit shah plan januari dr manish kumar capi क द्वारा,0.0,NEU
rt trust pseudo gora write worst post gabba piec random stuff farmer protest…,-0.75,NEG
