time,text,sentiment
2020-07-18 13:33:45,"b'RT @susansaga1: This is not just civil unrest, not even just a civil war. \n\nThis is a world war, a spiritual battle. \n\nThe NWO needs to tak\xe2\x80\xa6'",neutral
2020-07-18 13:33:45,b'RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY',positive
2020-07-18 13:33:44,b'RT @ProjectLincoln: Donald Trump really pulled an \xe2\x80\x9cI want to speak to the manager.\xe2\x80\x9d https://t.co/bZsIh941V7',positive
2020-07-18 13:33:44,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:33:44,b'RT @GematriaClub: #Clemency =136\n#RogerStone =136\n\nSentence Commuted =710\nDonald John Trump =710\nOn 7/10  \xf0\x9f\x97\x93\xef\xb8\x8f  #Gematria',neutral
2020-07-18 13:33:43,"b'RT @donwinslow: If you want to know why @realDonaldTrump has been silent on @repjohnlewis death, look no further than this remarkable video\xe2\x80\xa6'",positive
2020-07-18 13:33:43,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:33:43,b'RT @JoyAnnReid: Donald Trump has now activated the \xe2\x80\x9csecret police\xe2\x80\x9d setting in the autocrat\xe2\x80\x99s playbook. #PortlandKidnappings #PortlandProtes\xe2\x80\xa6',negative
2020-07-18 13:33:43,b'RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY',positive
2020-07-18 13:33:42,"b""RT @SenDuckworth: Three weeks. \n\nIt's been three weeks since the American people learned Putin reportedly offered bounties for the killing\xe2\x80\xa6""",neutral
2020-07-18 13:33:42,"b""RT @murray_nyc: @realDonaldTrump TRASHING HIS OWN FAMILY\n\nIt's one thing for Trump to trash politicians &amp; the media but now he has taken to\xe2\x80\xa6""",positive
2020-07-18 13:33:42,"b'@rsolervo @smerconish You mean this #jasonmiller?\nJason Miller, a Republican operative and former aide to President\xe2\x80\xa6 https://t.co/pGtLzol0av'",negative
2020-07-18 13:33:41,"b""RT @CNNPolitics: President Trump's outrageous refusal to lead is making the pandemic worse | Analysis https://t.co/ncd1hbuifV https://t.co/\xe2\x80\xa6""",negative
2020-07-18 13:33:41,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:33:41,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:33:40,"b'RT @donwinslow: If you want to know why @realDonaldTrump has been silent on @repjohnlewis death, look no further than this remarkable video\xe2\x80\xa6'",positive
2020-07-18 13:33:39,"b'@TeamTrump @realDonaldTrump @kimguilfoyle The last thing we need actually is another wasteful, backward and discrim\xe2\x80\xa6 https://t.co/t4gJqIVEB8'",neutral
2020-07-18 13:33:39,"b'RT @KimMangone: Kevin McCarthy called vote by mail disgusting. My opponent isn\xe2\x80\x99t afraid of fraud, he\xe2\x80\x99s afraid of Donald Trump losing.'",negative
2020-07-18 13:33:39,b'RT @glamelegance: @itsJeffTiedrich @realDonaldTrump @NRA @NRAPVF Donald Trump is owned by the NRA. They donated $30 Million in 2016 and the\xe2\x80\xa6',neutral
2020-07-18 13:33:39,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:39,"b'RT @Amber_DFWGirl: @SethAbramson In 1940s Nazi Germany, Hitler sent the #Gestapo, his secret police to various German cities to operate wit\xe2\x80\xa6'",negative
2020-07-18 13:33:39,"b""RT @MarianneSansum: Donald Trump won't order Americans to wear coronavirus masks\n\nhttps://t.co/c9AWAfttEn""",neutral
2020-07-18 13:33:38,"b'RT @JamilSmith: John Lewis is gone at 80\xe2\x80\x93and too soon, indeed. I was truly blessed to have this conversation with him in his office, on MLK\xe2\x80\xa6'",neutral
2020-07-18 13:33:38,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:38,b'RT @AyannaPressley: Remember when Donald J. Trump was impeached by the United States House of Representatives?',neutral
2020-07-18 13:33:38,"b""@realDonaldTrump Joe Biden has been a follower his whole life now he's following the extremists on the left has nev\xe2\x80\xa6 https://t.co/niy0Nniwlp""",positive
2020-07-18 13:33:38,b'RT @ThePubliusUSA: Many people are saying that Donald Trump is a Russian money launderer.',positive
2020-07-18 13:33:38,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:33:38,b'This is going to end in particularly ugly fashion for Donald Trump https://t.co/GrPIqJBfuk via @PalmerReport',negative
2020-07-18 13:33:38,"b'RT @BandyXLee1: What Donald Trump is doing in Portland is a trial balloon (or, in psychological terms, \xe2\x80\x9ctesting limits\xe2\x80\x9d).  He may believe O\xe2\x80\xa6'",neutral
2020-07-18 13:33:37,b'RT @AlainPag2: Republican and The President Donald trump tonight More Abonn\xc3\xa9s \xc3\xa0 #MAGA  #Patriots me BODY GUARD FOR MR.THE PRESIDENT DONALD\xe2\x80\xa6',positive
2020-07-18 13:33:37,"b'@JimmyWalter11 @TahoeSoxDave @SeanParnellUSA @DonaldJTrumpJr @JoeBiden Not exactly but besides that, you had a meme\xe2\x80\xa6 https://t.co/2vlUq5uoG7'",negative
